Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
2024,08,165000,005,0305,19630 ,00000 ,856 ,216,19740, , ,80105      ,4,8,0,Deer Trail town,55,55,9837015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,169000,029,0315,19850 ,00000 ,9030 ,999,99999, , ,81416      ,4,8,12,Delta,24,24,5626222,1,2,480000,0,0,0,2,50,12000000,24,24,5626222,1,2,480000,0,0,0,2,50,12000000
2024,08,173000,031,0320,20000 ,00000 ,735538 ,216,19740,2,1,80202      ,4,8,12,Denver,872,872,269998343,0,0,0,1,4,378160,54,3118,518117741,872,872,269998343,0,0,0,1,4,378160,54,3118,518117741
2024,08,177000,081,0332,20495 ,00000 ,334 ,999,44460, , ,816100238  ,4,8,12,Dinosaur town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,181000,083,0335,20770 ,00000 ,964 ,999,99999, , ,81323      ,4,8,12,Dolores town,1,1,216911,0,0,0,0,0,0,0,0,0,1,1,216911,0,0,0,0,0,0,0,0,0
2024,08,183000,035,    ,99990 ,00000 ,203901 ,216,19740,2, ,80104      ,4,8,12,Douglas County Unincorporated Area,1009,1009,335911765,2,4,846206,13,50,9106770,11,422,38342256,1009,1009,335911765,2,4,846206,13,50,9106770,11,422,38342256
2024,08,187000,067,0350,22035 ,00000 ,19690 ,999,20420, ,2,81301      ,4,8,12,Durango,14,14,7142434,6,12,1530586,5,16,2214035,1,7,867348,14,14,7142434,6,12,1530586,5,16,2214035,1,7,867348
2024,08,189000,061,0355,22145 ,00000 ,632 ,999,99999, , ,81036      ,4,8,12,Eads town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,191000,037,    ,99990 ,00000 ,23646 ,233,20780, , ,81631      ,4,8,12,Eagle County Unincorporated Area,38,38,98147809,0,0,0,0,0,0,0,0,0,38,38,98147809,0,0,0,0,0,0,0,0,0
2024,08,193000,037,0360,22200 ,00000 ,6911 ,233,20780, , ,81631      ,4,8,12,Eagle town,17,17,27882885,0,0,0,0,0,0,0,0,0,17,17,27882885,0,0,0,0,0,0,0,0,0
2024,08,195000,123,0370,22860 ,00000 ,6000 ,216,24540, , ,80615      ,4,8,12,Eaton town,3,3,1289380,0,0,0,0,0,0,0,0,0,3,3,1289380,0,0,0,0,0,0,0,0,0
2024,08,197000,125,0375,23025 ,00000 ,260 ,999,99999, , ,807270217  ,4,8,12,Eckley town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,199000,059,0380,23135 ,00000 ,5393 ,216,19740, , ,80214      ,4,8,10,Edgewater,5,5,2263367,0,0,0,0,0,0,0,0,0,4,4,1700000,0,0,0,0,0,0,0,0,0
2024,08,201000,041,    ,99990 ,00000 ,196856 ,999,17820,2, ,80910      ,4,8,12,El Paso County Unincorporated Area,2732,2732,1565672583,119,238,56713798,2,6,2509808,22,872,183362655,2732,2732,1565672583,119,238,56713798,2,6,2509808,22,872,183362655
2024,08,203000,039,    ,99990 ,00000 ,23930 ,216,19740, , ,80117      ,4,8,12,Elbert County Unincorporated Area,382,382,191037681,0,0,0,0,0,0,0,0,0,382,382,191037681,0,0,0,0,0,0,0,0,0
2024,08,205000,039,0385,23740 ,00000 ,1867 ,216,19740, , ,80107      ,4,8,12,Elizabeth town,75,75,17329864,0,0,0,0,0,0,0,0,0,75,75,17329864,0,0,0,0,0,0,0,0,0
2024,08,209000,005,0395,24785 ,00000 ,35099 ,216,19740, , ,80110      ,4,8,12,Englewood,10,10,3569263,0,0,0,0,0,0,0,0,0,10,10,3569263,0,0,0,0,0,0,0,0,0
2024,08,213000,123,0400,24950 ,00000 ,17559 ,216,24540,2, ,805160750  ,4,8,11,Erie town,883,883,398043663,1,2,353664,1,3,457092,1,5,733747,830,830,378550945,0,0,0,0,0,0,0,0,0
2024,08,215000,069,0405,25115 ,00000 ,6553 ,999,22660, , ,80517      ,4,8,12,Estes Park town,19,19,13406795,0,0,0,0,0,0,2,48,8292968,19,19,13406795,0,0,0,0,0,0,2,48,8292968
