Vintage 2024 Prepared October 2025,,,,,,,,
countyfips,countyname,year,estimate,change,births,deaths,netmig,datatype
111,San Juan,1975,841,7,20,5,-8,Estimate
113,San Miguel,1975,2430,-19,39,16,-42,Estimate
115,Sedgwick,1975,3374,76,56,41,61,Estimate
117,Summit,1975,5870,315,79,14,250,Estimate
119,Teller,1975,5779,345,91,33,287,Estimate
121,Washington,1975,5135,-28,71,57,-42,Estimate
123,Weld,1975,108841,817,1730,666,-247,Estimate
125,Yuma,1975,8750,299,143,109,265,Estimate
0,Colorado,1976,2618311,41409,40576,17700,18533,Estimate
1,Adams,1976,222739,5859,4087,1063,2835,Estimate
3,Alamosa,1976,11611,-47,203,68,-182,Estimate
5,Arapahoe,1976,228736,10720,3337,1013,8396,Estimate
7,Archuleta,1976,3439,49,59,24,14,Estimate
9,Baca,1976,5694,69,101,54,22,Estimate
11,Bent,1976,6245,-92,85,68,-109,Estimate
13,Boulder,1976,170416,1235,2120,810,-75,Estimate
15,Chaffee,1976,12043,19,182,103,-60,Estimate
17,Cheyenne,1976,2218,-6,43,23,-26,Estimate
19,Clear Creek,1976,6159,154,139,36,51,Estimate
21,Conejos,1976,7818,-216,158,61,-313,Estimate
23,Costilla,1976,3102,-12,51,29,-34,Estimate
25,Crowley,1976,3184,-123,42,44,-121,Estimate
27,Custer,1976,1200,35,13,14,36,Estimate
29,Delta,1976,18477,275,234,222,263,Estimate
31,Denver,1976,501128,1757,7406,4616,-1033,Estimate
33,Dolores,1976,1566,-15,27,16,-26,Estimate
35,Douglas,1976,15797,1150,183,60,1027,Estimate
37,Eagle,1976,11432,813,185,43,671,Estimate
39,Elbert,1976,5277,358,75,36,319,Estimate
41,El Paso,1976,289357,-1982,5767,1591,-6158,Estimate
43,Fremont,1976,26288,60,331,367,96,Estimate
45,Garfield,1976,18392,368,285,150,233,Estimate
47,Gilpin,1976,1881,35,29,11,17,Estimate
49,Grand,1976,6501,55,121,27,-39,Estimate
51,Gunnison,1976,9079,-317,100,35,-382,Estimate
53,Hinsdale,1976,409,56,5,4,55,Estimate
55,Huerfano,1976,6734,104,107,97,94,Estimate
57,Jackson,1976,1708,-16,27,12,-31,Estimate
59,Jefferson,1976,325430,12961,4305,1587,10243,Estimate
61,Kiowa,1976,2019,-32,37,21,-48,Estimate
63,Kit Carson,1976,7747,86,145,66,7,Estimate
65,Lake,1976,8872,251,152,41,140,Estimate
67,La Plata,1976,23854,668,360,171,479,Estimate
69,Larimer,1976,123413,2506,1671,769,1604,Estimate
71,Las Animas,1976,15624,-8,217,204,-21,Estimate
73,Lincoln,1976,4901,-81,55,56,-80,Estimate
75,Logan,1976,19529,286,312,185,159,Estimate
77,Mesa,1976,65277,708,999,581,290,Estimate
79,Mineral,1976,812,10,9,3,4,Estimate
81,Moffat,1976,9767,68,169,60,-41,Estimate
83,Montezuma,1976,14789,88,265,115,-62,Estimate
85,Montrose,1976,21293,825,316,182,691,Estimate
87,Morgan,1976,21450,-279,347,188,-438,Estimate
89,Otero,1976,23845,-89,403,258,-234,Estimate
91,Ouray,1976,1968,152,32,15,135,Estimate
93,Park,1976,3329,104,58,23,69,Estimate
95,Phillips,1976,4394,159,74,57,142,Estimate
97,Pitkin,1976,9658,671,99,30,602,Estimate
99,Prowers,1976,13655,-29,263,141,-151,Estimate
101,Pueblo,1976,124789,-731,1888,1044,-1575,Estimate
103,Rio Blanco,1976,5056,-30,89,43,-76,Estimate
105,Rio Grande,1976,10593,-202,188,102,-288,Estimate
107,Routt,1976,10112,615,163,56,508,Estimate
109,Saguache,1976,4035,-63,92,27,-128,Estimate
111,San Juan,1976,852,11,26,5,-10,Estimate
113,San Miguel,1976,2684,254,44,18,228,Estimate
115,Sedgwick,1976,3348,-26,50,35,-41,Estimate
117,Summit,1976,6476,606,96,16,526,Estimate
119,Teller,1976,6058,279,80,38,237,Estimate
121,Washington,1976,5207,72,72,56,56,Estimate
123,Weld,1976,109989,1148,1852,696,-8,Estimate
125,Yuma,1976,8856,106,146,114,74,Estimate
0,Colorado,1977,2676220,57909,42031,17934,33812,Estimate
1,Adams,1977,226135,3396,4238,1072,230,Estimate
3,Alamosa,1977,11338,-273,203,78,-398,Estimate
5,Arapahoe,1977,240684,11948,3552,1039,9435,Estimate
7,Archuleta,1977,3604,165,65,18,118,Estimate
9,Baca,1977,5527,-167,99,52,-214,Estimate
11,Bent,1977,6129,-116,90,67,-139,Estimate
13,Boulder,1977,177978,7562,2207,845,6200,Estimate
15,Chaffee,1977,12486,443,197,108,354,Estimate
17,Cheyenne,1977,2051,-167,37,18,-186,Estimate
19,Clear Creek,1977,6165,6,132,36,-90,Estimate
21,Conejos,1977,7914,96,176,61,-19,Estimate
23,Costilla,1977,3153,51,56,26,21,Estimate
25,Crowley,1977,3137,-47,50,52,-45,Estimate
27,Custer,1977,1253,53,21,9,41,Estimate
29,Delta,1977,19080,603,273,220,550,Estimate
31,Denver,1977,496702,-4426,7492,4585,-7333,Estimate
33,Dolores,1977,1467,-99,32,12,-119,Estimate
35,Douglas,1977,17614,1817,234,65,1648,Estimate
37,Eagle,1977,12083,651,183,39,507,Estimate
39,Elbert,1977,5334,57,88,37,6,Estimate
41,El Paso,1977,298720,9363,5701,1605,5267,Estimate
43,Fremont,1977,26512,224,349,382,257,Estimate
45,Garfield,1977,18992,600,286,142,456,Estimate
47,Gilpin,1977,1973,92,38,10,64,Estimate
49,Grand,1977,6568,67,122,34,-21,Estimate
51,Gunnison,1977,9258,179,101,39,117,Estimate
53,Hinsdale,1977,466,57,5,6,58,Estimate
55,Huerfano,1977,6676,-58,105,93,-70,Estimate
57,Jackson,1977,1681,-27,29,13,-43,Estimate
59,Jefferson,1977,337136,11706,4660,1675,8721,Estimate
61,Kiowa,1977,1875,-144,33,19,-158,Estimate
63,Kit Carson,1977,7671,-76,146,73,-149,Estimate
65,Lake,1977,8757,-115,170,39,-246,Estimate
67,La Plata,1977,24636,782,375,170,577,Estimate
69,Larimer,1977,131164,7751,1798,799,6752,Estimate
71,Las Animas,1977,15352,-272,235,199,-308,Estimate
73,Lincoln,1977,4740,-161,55,45,-171,Estimate
75,Logan,1977,19503,-26,318,175,-169,Estimate
77,Mesa,1977,67294,2017,1059,611,1569,Estimate
79,Mineral,1977,816,4,10,3,-3,Estimate
81,Moffat,1977,10438,671,210,69,530,Estimate
83,Montezuma,1977,15087,298,263,127,162,Estimate
85,Montrose,1977,21968,675,359,182,498,Estimate
87,Morgan,1977,21553,103,349,193,-53,Estimate
89,Otero,1977,23246,-599,406,270,-735,Estimate
91,Ouray,1977,1923,-45,36,14,-67,Estimate
93,Park,1977,3520,191,66,21,146,Estimate
95,Phillips,1977,4379,-15,75,62,-28,Estimate
97,Pitkin,1977,10225,567,98,31,500,Estimate
99,Prowers,1977,13505,-150,288,127,-311,Estimate
101,Pueblo,1977,123725,-1064,1900,1045,-1919,Estimate
103,Rio Blanco,1977,5109,53,105,37,-15,Estimate
